"id","citations","publication_year","journal","authors","title","doi","matched_term","context_mentions"
"https://openalex.org/W3021041580",14,2020,"Journal of Behavioral Public Administration","Unknown Author","Partisan polarization and resistance to elite messages: Results from survey experiments on social distancing","https://doi.org/10.30636/jbpa.32.178","party decline","lites, broadly defined. A second experiment in Study 2 finds no backlash for a policy described as being backed by public health experts, but a cross-party decline in support for the same policy when backed by government officials. This suggests that, in polarized times, public health experts might be better adv"
"https://openalex.org/W2490168173",13,2002,"Unknown Journal","Unknown Author","Still Functional After All These Years","https://doi.org/10.1093/0199240566.003.0011","party decline","by two further introductory sections, which present a more in‐depth discussion of the American ‘two‐party’ (Republicans and Democrats) system, and of party decline and revival. The next three sections cover the same topics as those in the other country case studies in the book, and examine the popular legitimacy"
"https://openalex.org/W53924778",13,2014,"Unknown Journal","Unknown Author","Party decline and response : the effects of membership decline on party organisations in Western Europe, 1960-2010","https://doi.org/10.3990/1.9789036536165","party decline","Party decline and response : the effects of membership decline on party organisations in Western Europe, 1960-2010 - This book does not only stand for the end of a"
"https://openalex.org/W2029609443",9,2008,"German Politics","Unknown Author","Kirchheimer Revisited: Party Polarisation, Party Convergence, or Party Decline in the German Party System","https://doi.org/10.1080/09644000802075559","party decline","Kirchheimer Revisited: Party Polarisation, Party Convergence, or Party Decline in the German Party System - The 2005 German parliamentary elections produced two parties claiming victory, the inability to form a government, and G"
"https://openalex.org/W2320717758",9,2016,"The Political Quarterly","Unknown Author","Corbyn as an Organisational Phenomenon: A Response to Steve Richards","https://doi.org/10.1111/1467-923x.12220","party decline","deliberation and of collective decision-making? Fundamentally, does the Corbyn phenomenon represent a form of party revival, or another step towards party decline?"
"https://openalex.org/W1881250728",9,2015,"Palgrave Macmillan UK eBooks","Unknown Author","Political Parties and the European Union","https://doi.org/10.1057/9781137316967_17","party decline","estion of whether political parties actually have (or should have) this prominent role in modern democracies has long been debated. In this so-called party decline debate, a number of tendencies, such as voter de-alignment and membership decline, are used to indicate the less dominant role of political parties,"
"https://openalex.org/W4390396407",8,2023,"International Political Science Review","Unknown Author","Behind the technocratic challenge: Old and new alternatives to party government in Italy","https://doi.org/10.1177/01925121231216438","party decline","romised land of technocracy, constitutes a crucial case to test the major short-term (critical junctures) and long-term (complexity of policy-making; party decline) factors identified to explain this phenomenon. Our analysis is based on two innovative tools: a new dataset updated to the current back-to-politics"
"https://openalex.org/W2505799625",7,2002,"Unknown Journal","Unknown Author","On the Primacy of Party in Government","https://doi.org/10.1093/0199253099.003.0011","party decline","On the Primacy of Party in Government - Abstract Argues that despite voluminous evidence of party decline in the electorate, parties in government can survive, even prosper, because the core of the party is and always has been located at the level of gove"
"https://openalex.org/W4235251937",6,2017,"Oxford University Press eBooks","Unknown Author","Legitimacy Decline and Party Decline","https://doi.org/10.1093/oso/9780198793717.003.0005","party decline","Legitimacy Decline and Party Decline - This chapter discusses the decline of political parties as a possible cause of the decline of legitimacy. Political parties constitute a link betwe"
"https://openalex.org/W4235251937",6,2017,"Oxford University Press eBooks","Unknown Author","Legitimacy Decline and Party Decline","https://doi.org/10.1093/oso/9780198793717.003.0005","party decline","ere is a causal relationship between citizens’ involvement in political parties and political support. The chapter argues that empirical evidence for party decline is limited, as parties may have undergone transformation rather than decline. Using ESS data from 2002 to 2010, the chapter finds only weak relations"
"https://openalex.org/W2238158350",5,2005,"Taiwan journal of democracy","Unknown Author","Party Decline in a Mature System: The Congress Party of India","https://doi.org/10.29654/tjd.200507.0003","party decline","Party Decline in a Mature System: The Congress Party of India - The Congress Party of India retained its electoral dominance for almost four decades from the first"
"https://openalex.org/W2884944680",5,2018,"Oxford University Press eBooks","Unknown Author","Party Change and Political Personalization","https://doi.org/10.1093/oso/9780198808008.003.0010","party decline","ies and personalization as a zero-sum game: when one declines, the other is expected to rise. Yet, while scholars of political personalization regard party decline as the starting point of their story, for scholars of party change personalization is only one of the possible outcomes of party decline. These two p"
"https://openalex.org/W2145922156",5,2004,"Party Politics","Unknown Author","Party Members in a Three-Party Election","https://doi.org/10.1177/1354068804043908","party decline","eir party. We also show that the Republican Party benefited in 2000 from Reform contributors’ mobilization, which suggests a connection between third-party decline and major-party change."
"https://openalex.org/W2790623983",4,2018,"Japan Forum","Unknown Author","Political transformation in Japan as a source of insight","https://doi.org/10.1080/09555803.2017.1419274","party decline",", economic resurgence and single-party dominance (1945–1990); (3) low growth, electoral reform and neo-liberalism (1991–2006); (4) Liberal Democratic Party decline and the opposition in power (2006–2012); and (5) authoritarian leadership with weak opposition (2012 onwards). The article concludes with a discussio"
"https://openalex.org/W4243755776",4,2018,"Oxford University Press eBooks","Unknown Author","Party Change and Political Personalization","https://doi.org/10.1093/oso/9780198808008.003.0011","party decline","partyness and personalization will not be in zero-sum relationships. It then turns to the question of the causal direction of this relationship: does party decline cause personalization, or is it the other way round? While it makes sense that the two should interact, our argument is that decline in partyness occ"
"https://openalex.org/W2526475229",4,2016,"Ghent University Academic Bibliography (Ghent University)","Unknown Author","Independent relics or heralds of party decline?: the role of non-national lists in local politics",NA,"party decline","Independent relics or heralds of party decline?: the role of non-national lists in local politics - This doctoral dissertation aims to contribute to a more profound academic comprehension of the r"
"https://openalex.org/W2526475229",4,2016,"Ghent University Academic Bibliography (Ghent University)","Unknown Author","Independent relics or heralds of party decline?: the role of non-national lists in local politics",NA,"party decline","study concludes that non-national lists in Flanders cannot be considered as independent relics of an ancient political era, but neither as heralds of party decline. Rather they seem to reflect a change in the representative claims on which political parties rely."
"https://openalex.org/W3201305137",3,2021,"American Politics Research","Unknown Author","Gubernatorial Elections Change Demand for Local Newspapers","https://doi.org/10.1177/1532673x211046252","party decline","gubernatorial elections with no competition from federal elections—from 1933 to 2005. We find demand for local newspapers associated with the winning party declines after gubernatorial elections compared to demand for other newspapers. The results also shed light on whether (and which) winning partisans are dise"
"https://openalex.org/W2503351092",3,2011,"Oxford University Press eBooks","Unknown Author","Parties and Representative Government","https://doi.org/10.1093/acprof:osobl/9780199599356.003.0001","party decline","e systematic study of the party government model in a way that was not possible in the past. The second is to contribute to the vigorous debate about party decline or change. The chapter then discusses the rise of party-based politics; the five main forms of linkage between political parties and voters; and the"
"https://openalex.org/W2053740142",3,2011,"Journal of women's history","Unknown Author","""Give the Ladies a Chance"": Gender and Partisanship in the Prohibition Party, 1869–1912","https://doi.org/10.1353/jowh.2011.0025","party decline","tained a remarkable departure from traditional Democratic and Republican practices, and further explores why women's contributions to the Prohibition Party declined in the early-twentieth century. In so doing, it traces how gender and gender roles shaped the meaning of party and politics, and elucidates the inte"
"https://openalex.org/W2569954672",3,2004,"Polity","Unknown Author","A New Migration of Political Forces: Party Decline and Presidential Leadership in Late Nineteenth-Century America","https://doi.org/10.1086/polv36n2ms3235481","party decline","A New Migration of Political Forces: Party Decline and Presidential Leadership in Late Nineteenth-Century America - This article examines the decline of political parties in post-Civil War America and"
