"id","title","display_name","abstract","doi","publication_date","publication_year","fwci","cited_by_count","type","is_oa","is_oa_anywhere","oa_status","oa_url","any_repository_has_fulltext","source_display_name","source_id","issn_l","host_organization","host_organization_name","landing_page_url","pdf_url","license","version","referenced_works_count","is_paratext","is_retracted","language","first_page","last_page","volume","issue","oa_input"
"W2059271463","Explaining turnout in the 2001 British General Election∗","Explaining turnout in the 2001 British General Election∗","(2001). Explaining turnout in the 2001 British General Election. Representation: Vol. 38, No. 3, pp. 256-267.","https://doi.org/10.1080/00344890108523188",2001-12-01,2001,1.4841,1,"article",FALSE,FALSE,"closed",NA,FALSE,"Representation","https://openalex.org/S27847527","0034-4893","https://openalex.org/P4310320547","Taylor & Francis","https://doi.org/10.1080/00344890108523188",NA,NA,"publishedVersion",21,FALSE,FALSE,"en","256","267","38","3",FALSE
"W206160175","An Empirical Assessment of the Effect of Elite Polarization on Mass Level Attitudes and Behaviors: 197222008","An Empirical Assessment of the Effect of Elite Polarization on Mass Level Attitudes and Behaviors: 197222008",NA,"https://doi.org/10.2139/ssrn.2462876",2014-01-01,2014,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.2462876",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.2462876",NA,NA,"publishedVersion",35,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2119609115","Presidents and Parties in Regional Politics: Italy and Spain Compared","Presidents and Parties in Regional Politics: Italy and Spain Compared",NA,"https://doi.org/10.2139/ssrn.2111299",2012-01-01,2012,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.2111299",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.2111299",NA,NA,"publishedVersion",43,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2134426251","Rallying Around the Party: A Theory of Party Identity Linkage","Rallying Around the Party: A Theory of Party Identity Linkage","&lt;p&gt;This dissertation proposes that party identification, as a social identity, fundamentally alters individual processing of and reactions to political information and events. I present a &lt;italic&gt;party identity linkage theory&lt;/italic&gt; in which I argue party identity can lead to heightened, specific emotional responses to threatening political competition and biased, polarized perceptions of politicalized objects if the link between self and party is sufficiently strong. Because people are strongly motivated to protect the positive perceptions they have of themselves, they should be motivated to maintain and protect their positive perceptions of groups that are linked to their self-concept through social identities. Furthermore, because people tend to engage in self-serving biases that result in a degree of positive illusions about themselves, especially when the positive self-view is threatened, evaluations of closely linked groups should also be subject to a degree of positive bias, especially when the positive image of the group is threatened. Drawing on both experimental and survey data, I provide evidence that strong partisans are fundamentally different from weak partisans and independents in the degree a party is included in their self-concepts, in their responses to candidates' changed party status, and in their responses to threatening inter-party competition.&lt;/p&gt;",NA,2012-01-01,2012,NA,1,"dissertation",TRUE,TRUE,"green","http://hdl.handle.net/10161/5560",TRUE,"DukeSpace (Duke University)","https://openalex.org/S4306400687",NA,"https://openalex.org/I170897317","Duke University","http://hdl.handle.net/10161/5560","http://hdl.handle.net/10161/5560",NA,"submittedVersion",190,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2181685822","An analysis of political efficacy socialisation among threshold voters in the Republic of Ireland","An analysis of political efficacy socialisation among threshold voters in the Republic of Ireland","An analysis of political efficacy socialisation among threshold voters in the Republic of Ireland Author(s) Murphy, Philip Joseph Publication date 2011-10 Original citation Murphy, P.J., 2011. An analysis of political efficacy socialisation among threshold voters in the Republic of Ireland. PhD Thesis, University College Cork. Type of publication Doctoral thesis Rights © 2011, Philip J. Murphy http://creativecommons.org/licenses/by-nc-nd/3.0/",NA,2011-10-01,2011,NA,1,"dissertation",FALSE,FALSE,"closed",NA,FALSE,NA,NA,NA,NA,NA,"https://cora.ucc.ie/handle/10468/595",NA,NA,NA,301,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2189108069","A Temporary Return to Unified Government and The Increasing Salience of Party Labels","A Temporary Return to Unified Government and The Increasing Salience of Party Labels",NA,NA,2001-01-01,2001,0,1,"article",FALSE,FALSE,"closed",NA,FALSE,NA,NA,NA,NA,NA,"https://umsl.edu/~kimballd/columbus.pdf",NA,NA,NA,44,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2196734238","Issue Ownership vs. Conflict Extension: Understanding State Party Polarization","Issue Ownership vs. Conflict Extension: Understanding State Party Polarization",NA,"https://doi.org/10.2139/ssrn.2439490",2014-01-01,2014,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.2439490",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.2439490",NA,NA,"publishedVersion",38,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2209342238","Candidate emergence and success: Evidence from women in state legislative primary elections","Candidate emergence and success: Evidence from women in state legislative primary elections","The literature on the gender gap suggests that the main reason women continue to be underrepresented in Congress and most state legislatures is that women are not running for office. Many scholars suggest that the reason for the lack of women candidates is that women are not ambitious and choose not to run for office. In this context, ambition refers to office seeking behavior. Women report not feeling qualified to run for office and weigh the risks of running very heavily. Little attention is made in the literature as to the factors that determine this ambition or the risks involved. This study uses state legislative primaries as a lens to understand the gender gap. Using an institutionally based candidate emergence model which takes into account certain aspects of the state legislative office, the state geopolitical factors that influence competition, the electoral system and primary rules of a state, and traditional factors like incumbency, I test what factors determine the entry of women candidates into the primary race and what determines their success in gaining the nomination. I argue that many of these factors influence the strategic calculus of a woman candidate and influence her decisions to run for office. I find that contextual factors and electoral rules influence the entry of women candidates. Institutions that increase the level of competition in a district or state are favorable to the entry of women candidates. Women candidates are also likely to be represented in lower chambers of state legislatures and in the Democratic Party. Though contextual factors like a state‟s electoral system and aspects relating to a state legislature‟s level of professionalism influence the entry of women candidates, they have very little effect on the success of a woman candidate in winning the nomination. Traditional explanations of the success of women candidates, like being a member of the Democratic Party, had the most explanatory power in success. I also found that women candidates, even in the primary, do compete about as well as other candidates even in the most competitive of races.",NA,2010-05-01,2010,NA,1,"dissertation",TRUE,TRUE,"green","http://hdl.handle.net/2346/45397",TRUE,"ThinkTech (Texas Tech University)","https://openalex.org/S4306402519",NA,"https://openalex.org/I12315562","Texas Tech University","http://hdl.handle.net/2346/45397","http://hdl.handle.net/2346/45397",NA,"submittedVersion",112,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2224417498","Political Dissatisfaction and Decline of Party Identification: Evidence from the Republic of Cyprus","Political Dissatisfaction and Decline of Party Identification: Evidence from the Republic of Cyprus",NA,"https://doi.org/10.2139/ssrn.2537524",2014-01-01,2014,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.2537524",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.2537524",NA,NA,"publishedVersion",38,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
"W2240554357","The Voting Paradox and Social Networks: An Empirical Analysis","The Voting Paradox and Social Networks: An Empirical Analysis",NA,"https://doi.org/10.2139/ssrn.1354790",2009-01-01,2009,NA,1,"article",TRUE,TRUE,"green","https://doi.org/10.2139/ssrn.1354790",TRUE,"SSRN Electronic Journal","https://openalex.org/S4210172589","1556-5068","https://openalex.org/I1318003438","RELX Group (Netherlands)","https://doi.org/10.2139/ssrn.1354790",NA,NA,"publishedVersion",28,FALSE,FALSE,"en",NA,NA,NA,NA,FALSE
